xflr5 v6.47

ELTA
T1-50.0 m/s-VLM2-Inviscid
QInf  =   50.000000 m/s
Alpha =    0.000000
Beta  =    0.000
Phi   =    0.000
Ctrl  =    0.000
CL    =    0.652452
Cy    =    0.000000
Cd    =    0.013506     ICd   =    0.013506     PCd   =    0.000000
Cl   = 2.49928e-16
Cm   =    -0.32569
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.636372     YCP   =   -0.000000     ZCP   =    0.023263  
XNP   =    0.000000
Bending = 17422.074597

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -6.2643     0.7716    -1.813    0.115909    0.000000    0.003639   -0.103393   -0.039037     0.0000    0.0000    0.5861    0.0000
   -6.2215     0.7780    -1.486    0.195951    0.000000    0.005078   -0.171314   -0.063617     0.0000    0.0000    0.5746    0.1262
   -6.1362     0.7908    -1.166    0.272198    0.000000    0.005537   -0.229542   -0.082379     0.0000    0.0000    0.5526    1.6603
   -6.0090     0.8098    -0.900    0.338864    0.000000    0.005319   -0.272968   -0.094079     0.0000    0.0000    0.5275    8.4290
   -5.8407     0.8351    -0.709    0.396685    0.000000    0.004909   -0.303686   -0.100596     0.0000    0.0000    0.5034   27.8861
   -5.6326     0.8662    -0.593    0.447445    0.000000    0.004634   -0.324815   -0.103985     0.0000    0.0000    0.4822   71.9371
   -5.3860     0.9032    -0.539    0.492696    0.000000    0.004638   -0.338908   -0.105691     0.0000    0.0000    0.4643   157.5929
   -5.1025     0.9456    -0.532    0.533446    0.000000    0.004952   -0.347701   -0.106533     0.0000    0.0000    0.4494   307.4753
   -4.7843     0.9933    -0.559    0.570239    0.000000    0.005562   -0.352350   -0.106922     0.0000    0.0000    0.4371   550.1311
   -4.4333     1.0459    -0.612    0.603307    0.000000    0.006440   -0.353668   -0.107059     0.0000    0.0000    0.4270   920.0740
   -4.0521     1.1030    -0.685    0.632698    0.000000    0.007561   -0.352274   -0.107042     0.0000    0.0000    0.4187   1457.4710
   -3.6431     1.1643    -0.775    0.658346    0.000000    0.008903   -0.348663   -0.106916     0.0000    0.0000    0.4118   2207.3934
   -3.2093     1.2292    -0.880    0.680113    0.000000    0.010450   -0.343238   -0.106701     0.0000    0.0000    0.4062   3218.5799
   -2.7536     1.2975    -1.001    0.697803    0.000000    0.012191   -0.336318   -0.106398     0.0000    0.0000    0.4018   4541.6836
   -2.2791     1.3686    -1.138    0.711142    0.000000    0.014121   -0.328136   -0.105991     0.0000    0.0000    0.3983   6227.0147
   -1.7890     1.4420    -1.293    0.719736    0.000000    0.016246   -0.318830   -0.105448     0.0000    0.0000    0.3957   8321.8202
   -1.2866     1.5173    -1.473    0.722980    0.000000    0.018588   -0.308411   -0.104698     0.0000    0.0000    0.3940   10867.1710
   -0.7755     1.5938    -1.689    0.719838    0.000000    0.021226   -0.296677   -0.103592     0.0000    0.0000    0.3930   13894.5369
   -0.2591     1.6712    -1.986    0.708120    0.000000    0.024552   -0.282850   -0.101700     0.0000    0.0000    0.3927   17422.0746
    0.2591     1.6712    -1.986    0.708120    0.000000    0.024552   -0.282850   -0.101700     0.0000    0.0000    0.3927   17421.7719
    0.7755     1.5938    -1.689    0.719838    0.000000    0.021226   -0.296677   -0.103592     0.0000    0.0000    0.3930   13894.2470
    1.2866     1.5173    -1.473    0.722980    0.000000    0.018588   -0.308411   -0.104698     0.0000    0.0000    0.3940   10866.9035
    1.7890     1.4420    -1.293    0.719736    0.000000    0.016246   -0.318830   -0.105448     0.0000    0.0000    0.3957   8321.5816
    2.2791     1.3686    -1.138    0.711142    0.000000    0.014121   -0.328136   -0.105991     0.0000    0.0000    0.3983   6226.8086
    2.7536     1.2975    -1.001    0.697803    0.000000    0.012191   -0.336318   -0.106398     0.0000    0.0000    0.4018   4541.5111
    3.2093     1.2292    -0.880    0.680113    0.000000    0.010450   -0.343238   -0.106701     0.0000    0.0000    0.4062   3218.4403
    3.6431     1.1643    -0.775    0.658346    0.000000    0.008903   -0.348663   -0.106916     0.0000    0.0000    0.4118   2207.2843
    4.0521     1.1030    -0.685    0.632698    0.000000    0.007561   -0.352274   -0.107042     0.0000    0.0000    0.4187   1457.3888
    4.4333     1.0459    -0.612    0.603307    0.000000    0.006440   -0.353668   -0.107059     0.0000    0.0000    0.4270   920.0147
    4.7843     0.9933    -0.559    0.570239    0.000000    0.005562   -0.352350   -0.106922     0.0000    0.0000    0.4371   550.0904
    5.1025     0.9456    -0.532    0.533446    0.000000    0.004952   -0.347701   -0.106533     0.0000    0.0000    0.4494   307.4491
    5.3860     0.9032    -0.539    0.492696    0.000000    0.004638   -0.338908   -0.105691     0.0000    0.0000    0.4643   157.5771
    5.6326     0.8662    -0.593    0.447445    0.000000    0.004634   -0.324815   -0.103985     0.0000    0.0000    0.4822   71.9285
    5.8407     0.8351    -0.709    0.396685    0.000000    0.004909   -0.303686   -0.100596     0.0000    0.0000    0.5034   27.8820
