xflr5 v6.47

ELTA
T1-50.0 m/s-VLM2-Inviscid
QInf  =   50.000000 m/s
Alpha =    5.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.085383
Cy    =    0.000000
Cd    =    0.036616     ICd   =    0.036616     PCd   =    0.000000
Cl   = 4.67755e-16
Cm   =   -0.469517
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.551375     YCP   =   -0.000000     ZCP   =    0.025184  
XNP   =    0.000000
Bending = 29957.169783

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -6.2643     0.7716    -3.467    0.217487    0.000000    0.013017   -0.154842   -0.033841     0.0000    0.0000    0.4027    0.0000
   -6.2215     0.7780    -3.039    0.369414    0.000000    0.019584   -0.258881   -0.055784     0.0000    0.0000    0.3986    0.2367
   -6.1362     0.7908    -2.602    0.514931    0.000000    0.023387   -0.352272   -0.073831     0.0000    0.0000    0.3911    3.1268
   -6.0090     0.8098    -2.193    0.641046    0.000000    0.024547   -0.424935   -0.086478     0.0000    0.0000    0.3826   15.9138
   -5.8407     0.8351    -1.851    0.746704    0.000000    0.024130   -0.477020   -0.094685     0.0000    0.0000    0.3746   52.6987
   -5.6326     0.8662    -1.591    0.833981    0.000000    0.023168   -0.511419   -0.099767     0.0000    0.0000    0.3674   135.8167
   -5.3860     0.9032    -1.414    0.905893    0.000000    0.022366   -0.531698   -0.102839     0.0000    0.0000    0.3613   296.6688
   -5.1025     0.9456    -1.311    0.965330    0.000000    0.022088   -0.541146   -0.104664     0.0000    0.0000    0.3562   576.1133
   -4.7843     0.9933    -1.269    1.014618    0.000000    0.022469   -0.542472   -0.105720     0.0000    0.0000    0.3520   1024.4528
   -4.4333     1.0459    -1.276    1.055466    0.000000    0.023517   -0.537790   -0.106289     0.0000    0.0000    0.3485   1700.9770
   -4.0521     1.1030    -1.325    1.089040    0.000000    0.025188   -0.528715   -0.106536     0.0000    0.0000    0.3456   2672.9875
   -3.6431     1.1643    -1.407    1.116085    0.000000    0.027424   -0.516456   -0.106554     0.0000    0.0000    0.3432   4014.2242
   -3.2093     1.2292    -1.520    1.137016    0.000000    0.030167   -0.501909   -0.106391     0.0000    0.0000    0.3413   5802.6328
   -2.7536     1.2975    -1.659    1.151986    0.000000    0.033376   -0.485710   -0.106065     0.0000    0.0000    0.3398   8117.4538
   -2.2791     1.3686    -1.826    1.160906    0.000000    0.037021   -0.468287   -0.105570     0.0000    0.0000    0.3386   11035.6549
   -1.7890     1.4420    -2.023    1.163415    0.000000    0.041090   -0.449870   -0.104873     0.0000    0.0000    0.3378   14627.7801
   -1.2866     1.5173    -2.253    1.158794    0.000000    0.045603   -0.430496   -0.103907     0.0000    0.0000    0.3373   18953.3215
   -0.7755     1.5938    -2.533    1.145705    0.000000    0.050682   -0.409935   -0.102542     0.0000    0.0000    0.3371   24055.7359
   -0.2591     1.6712    -2.913    1.121298    0.000000    0.057053   -0.387353   -0.100430     0.0000    0.0000    0.3372   29957.1698
    0.2591     1.6712    -2.913    1.121298    0.000000    0.057053   -0.387353   -0.100430     0.0000    0.0000    0.3372   29956.3663
    0.7755     1.5938    -2.533    1.145705    0.000000    0.050682   -0.409935   -0.102542     0.0000    0.0000    0.3371   24054.9653
    1.2866     1.5173    -2.253    1.158794    0.000000    0.045603   -0.430496   -0.103907     0.0000    0.0000    0.3373   18952.6088
    1.7890     1.4420    -2.023    1.163415    0.000000    0.041090   -0.449870   -0.104873     0.0000    0.0000    0.3378   14627.1423
    2.2791     1.3686    -1.826    1.160906    0.000000    0.037021   -0.468287   -0.105570     0.0000    0.0000    0.3386   11035.1020
    2.7536     1.2975    -1.659    1.151986    0.000000    0.033376   -0.485710   -0.106065     0.0000    0.0000    0.3398   8116.9894
    3.2093     1.2292    -1.520    1.137016    0.000000    0.030167   -0.501909   -0.106391     0.0000    0.0000    0.3413   5802.2552
    3.6431     1.1643    -1.407    1.116085    0.000000    0.027424   -0.516456   -0.106554     0.0000    0.0000    0.3432   4013.9277
    4.0521     1.1030    -1.325    1.089040    0.000000    0.025188   -0.528715   -0.106536     0.0000    0.0000    0.3456   2672.7634
    4.4333     1.0459    -1.276    1.055466    0.000000    0.023517   -0.537790   -0.106289     0.0000    0.0000    0.3485   1700.8148
    4.7843     0.9933    -1.269    1.014618    0.000000    0.022469   -0.542472   -0.105720     0.0000    0.0000    0.3520   1024.3413
    5.1025     0.9456    -1.311    0.965330    0.000000    0.022088   -0.541146   -0.104664     0.0000    0.0000    0.3562   576.0411
    5.3860     0.9032    -1.414    0.905893    0.000000    0.022366   -0.531698   -0.102839     0.0000    0.0000    0.3613   296.6254
    5.6326     0.8662    -1.591    0.833981    0.000000    0.023168   -0.511419   -0.099767     0.0000    0.0000    0.3674   135.7932
    5.8407     0.8351    -1.851    0.746704    0.000000    0.024130   -0.477020   -0.094685     0.0000    0.0000    0.3746   52.6876
    6.0090     0.8098    -2.193    0.641046    0.000000    0.024547   -0.424935   -0.086478     0.0000    0.0000    0.3826   15.9095
    6.1362     0.7908    -2.602    0.514931    0.000000    0.023387   -0.352272   -0.073831     0.0000    0.0000    0.3911    3.1256
    6.2215     0.7780    -3.039    0.369414    0.000000    0.019584   -0.258881   -0.055784     0.0000    0.0000    0.3986    0.2366
    6.2643     0.7716    -3.467    0.217487    0.000000    0.013017   -0.154842   -0.033841     0.0000    0.0000    0.4027    0.0000


