xflr5 v6.47

ELTA
T1-50.0 m/s-VLM2-Inviscid
QInf  =   50.000000 m/s
Alpha =   10.200000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.499775
Cy    =   -0.000000
Cd    =    0.069175     ICd   =    0.069175     PCd   =    0.000000
Cl   = -5.2135e-16
Cm   =   -0.569932
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.487553     YCP   =    0.000000     ZCP   =    0.026012  
XNP   =    0.000000
Bending = 42412.904448

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -6.2643     0.8812    -5.460    0.289564    0.000000    0.027240   -0.158876   -0.026667     0.0000    0.0000    0.3374    0.0000
   -6.2215     0.8861    -4.963    0.494658    0.000000    0.042876   -0.268343   -0.044853     0.0000    0.0000    0.3364    0.3600
   -6.1362     0.8959    -4.446    0.694562    0.000000    0.053982   -0.371838   -0.061588     0.0000    0.0000    0.3344    4.7657
   -6.0090     0.9105    -3.918    0.871268    0.000000    0.059667   -0.458077   -0.075173     0.0000    0.0000    0.3320   24.2906
   -5.8407     0.9298    -3.423    1.021433    0.000000    0.061095   -0.525056   -0.085490     0.0000    0.0000    0.3295   80.4833
   -5.6326     0.9537    -2.994    1.146046    0.000000    0.059943   -0.573741   -0.092901     0.0000    0.0000    0.3269   207.2915
   -5.3860     0.9820    -2.650    1.248176    0.000000    0.057769   -0.606599   -0.097996     0.0000    0.0000    0.3243   451.9097
   -5.1025     1.0145    -2.394    1.331526    0.000000    0.055683   -0.626572   -0.101391     0.0000    0.0000    0.3220   874.7447
   -4.7843     1.0510    -2.222    1.399562    0.000000    0.054320   -0.636439   -0.103595     0.0000    0.0000    0.3199   1548.6723
   -4.4333     1.0913    -2.124    1.455124    0.000000    0.053967   -0.638546   -0.104982     0.0000    0.0000    0.3180   2557.6685
   -4.0521     1.1351    -2.088    1.500344    0.000000    0.054705   -0.634755   -0.105802     0.0000    0.0000    0.3164   3994.8259
   -3.6431     1.1820    -2.106    1.536704    0.000000    0.056512   -0.626492   -0.106217     0.0000    0.0000    0.3150   5959.7295
   -3.2093     1.2318    -2.171    1.565142    0.000000    0.059334   -0.614822   -0.106323     0.0000    0.0000    0.3138   8555.1672
   -2.7536     1.2840    -2.278    1.586132    0.000000    0.063112   -0.600513   -0.106171     0.0000    0.0000    0.3128   11883.1758
   -2.2791     1.3385    -2.427    1.599735    0.000000    0.067801   -0.584083   -0.105774     0.0000    0.0000    0.3120   16040.4650
   -1.7890     1.3947    -2.617    1.605587    0.000000    0.073384   -0.565826   -0.105113     0.0000    0.0000    0.3114   21113.3024
   -1.2866     1.4524    -2.853    1.602798    0.000000    0.079877   -0.545803   -0.104132     0.0000    0.0000    0.3109   27171.9786
   -0.7755     1.5110    -3.147    1.589651    0.000000    0.087424   -0.523786   -0.102730     0.0000    0.0000    0.3105   34264.9766
   -0.2591     1.5703    -3.550    1.562567    0.000000    0.096954   -0.498963   -0.100689     0.0000    0.0000    0.3103   42412.9044
    0.2591     1.5703    -3.550    1.562567    0.000000    0.096954   -0.498963   -0.100689     0.0000    0.0000    0.3103   42411.6524
    0.7755     1.5110    -3.147    1.589651    0.000000    0.087424   -0.523786   -0.102730     0.0000    0.0000    0.3105   34263.7747
    1.2866     1.4524    -2.853    1.602798    0.000000    0.079877   -0.545803   -0.104132     0.0000    0.0000    0.3109   27170.8648
    1.7890     1.3947    -2.617    1.605587    0.000000    0.073384   -0.565826   -0.105113     0.0000    0.0000    0.3114   21112.3034
    2.2791     1.3385    -2.427    1.599735    0.000000    0.067801   -0.584083   -0.105774     0.0000    0.0000    0.3120   16039.5964
    2.7536     1.2840    -2.278    1.586132    0.000000    0.063112   -0.600513   -0.106171     0.0000    0.0000    0.3128   11882.4439
    3.2093     1.2318    -2.171    1.565142    0.000000    0.059334   -0.614822   -0.106323     0.0000    0.0000    0.3138   8554.5701
    3.6431     1.1820    -2.106    1.536704    0.000000    0.056512   -0.626492   -0.106217     0.0000    0.0000    0.3150   5959.2591
    4.0521     1.1351    -2.088    1.500344    0.000000    0.054705   -0.634755   -0.105802     0.0000    0.0000    0.3164   3994.4691
    4.4333     1.0913    -2.124    1.455124    0.000000    0.053967   -0.638546   -0.104982     0.0000    0.0000    0.3180   2557.4095
    4.7843     1.0510    -2.222    1.399562    0.000000    0.054320   -0.636439   -0.103595     0.0000    0.0000    0.3199   1548.4936
    5.1025     1.0145    -2.394    1.331526    0.000000    0.055683   -0.626572   -0.101391     0.0000    0.0000    0.3220   874.6287
    5.3860     0.9820    -2.650    1.248176    0.000000    0.057769   -0.606599   -0.097996     0.0000    0.0000    0.3243   451.8400
    5.6326     0.9537    -2.994    1.146046    0.000000    0.059943   -0.573741   -0.092901     0.0000    0.0000    0.3269   207.2535
    5.8407     0.9298    -3.423    1.021433    0.000000    0.061095   -0.525056   -0.085490     0.0000    0.0000    0.3295   80.4652
    6.0090     0.9105    -3.918    0.871268    0.000000    0.059667   -0.458077   -0.075173     0.0000    0.0000    0.3320   24.2836
    6.1362     0.8959    -4.446    0.694562    0.000000    0.053982   -0.371838   -0.061588     0.0000    0.0000    0.3344    4.7637
    6.2215     0.8861    -4.963    0.494658    0.000000    0.042876   -0.268343   -0.044853     0.0000    0.0000    0.3364    0.3597
    6.2643     0.8812    -5.460    0.289564    0.000000    0.027240   -0.158876   -0.026667     0.0000    0.0000    0.3374    0.0000


Main Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z       Nx      Ny       Nz        Area       Cp
Main WingCp Coefficients
Strip 1
   0       1.058e+00      -6.264e+00       2.450e-04           0.130           0.005           0.991       2.768e-04          0.0815
   1       1.039e+00      -6.264e+00       2.691e-03           0.125           0.005           0.992       8.136e-04          0.1067
   2       9.954e-01      -6.264e+00       7.944e-03           0.112           0.005           0.994       1.301e-03          0.1350
   3       9.302e-01      -6.264e+00       1.496e-02           0.095           0.004           0.995       1.712e-03          0.1616
   4       8.471e-01      -6.264e+00       2.240e-02           0.073           0.003           0.997       2.021e-03          0.1856
   5       7.508e-01      -6.264e+00       2.886e-02           0.049           0.002           0.999       2.213e-03          0.2112
   6       6.469e-01      -6.264e+00       3.324e-02           0.023           0.000           1.000       2.277e-03          0.2504
   7       5.414e-01      -6.264e+00       3.475e-02          -0.011          -0.001           1.000       2.210e-03          0.3092
   8       4.406e-01      -6.264e+00       3.236e-02          -0.065          -0.003           0.998       2.020e-03          0.3384
   9       3.501e-01      -6.264e+00       2.549e-02          -0.114          -0.006           0.993       1.715e-03          0.3647
  10       2.754e-01      -6.264e+00       1.636e-02          -0.152          -0.008           0.988       1.308e-03          0.4246
  11       2.208e-01      -6.264e+00       7.707e-03          -0.179          -0.010           0.984       8.205e-04          0.5765
  12       1.893e-01      -6.264e+00       2.179e-03          -0.124          -0.009           0.992       2.766e-04          1.9514
Strip 2
  13       1.061e+00      -6.221e+00      -4.624e-04           0.131           0.005           0.991       8.331e-04          0.1094
  14       1.042e+00      -6.221e+00       2.018e-03           0.126           0.005           0.992       2.449e-03          0.1708
  15       9.987e-01      -6.221e+00       7.347e-03           0.113           0.005           0.994       3.917e-03          0.2246
  16       9.332e-01      -6.221e+00       1.448e-02           0.096           0.004           0.995       5.152e-03          0.2728
