xflr5 v6.47

Validation Plane
T1-50.0 m/s-VLM2-Inviscid
QInf  =   50.000000 m/s
Alpha =   10.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.213253
Cy    =   -0.000000
Cd    =    0.047006     ICd   =    0.047006     PCd   =    0.000000
Cl   = 1.56774e-16
Cm   =   -0.382734
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.388297     YCP   =   -0.000000     ZCP   =    0.025366  
XNP   =    0.000000
Bending = 32450.345834

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -5.9898     1.1602    -4.658    0.197233    0.000000    0.016019   -0.057866   -0.008519     0.0000    0.0000    0.2902    0.0000
   -5.9488     1.1611    -4.557    0.338508    0.000000    0.026972   -0.099886   -0.015249     0.0000    0.0000    0.2921    0.2946
   -5.8673     1.1629    -4.358    0.482656    0.000000    0.036775   -0.143914   -0.023242     0.0000    0.0000    0.2952    3.9004
   -5.7457     1.1655    -4.074    0.616936    0.000000    0.043937   -0.185927   -0.031683     0.0000    0.0000    0.2983   19.9448
   -5.5848     1.1690    -3.742    0.737771    0.000000    0.048245   -0.224407   -0.039950     0.0000    0.0000    0.3011   66.2975
   -5.3857     1.1733    -3.396    0.844021    0.000000    0.050080   -0.258624   -0.047598     0.0000    0.0000    0.3033   171.1501
   -5.1499     1.1784    -3.064    0.936063    0.000000    0.050111   -0.288472   -0.054428     0.0000    0.0000    0.3050   373.4781
   -4.8789     1.1843    -2.767    1.015200    0.000000    0.049058   -0.314286   -0.060449     0.0000    0.0000    0.3064   722.5008
   -4.5746     1.1909    -2.512    1.083155    0.000000    0.047528   -0.336626   -0.065789     0.0000    0.0000    0.3075   1276.3394
   -4.2390     1.1982    -2.305    1.141703    0.000000    0.045964   -0.356100   -0.070613     0.0000    0.0000    0.3086   2100.0820
   -3.8745     1.2061    -2.144    1.192439    0.000000    0.044651   -0.373255   -0.075071     0.0000    0.0000    0.3097   3263.4274
   -3.4835     1.2145    -2.026    1.236674    0.000000    0.043757   -0.388533   -0.079275     0.0000    0.0000    0.3107   4838.0333
   -3.0687     1.2235    -1.948    1.275400    0.000000    0.043379   -0.402254   -0.083299     0.0000    0.0000    0.3119   6894.6615
   -2.6329     1.2330    -1.906    1.309288    0.000000    0.043571   -0.414628   -0.087184     0.0000    0.0000    0.3131   9500.1961
   -2.1792     1.2428    -1.899    1.338694    0.000000    0.044376   -0.425752   -0.090939     0.0000    0.0000    0.3144   12714.6013
