xflr5 v6.47

Validation Plane
T1-50.0 m/s-VLM2-Inviscid
QInf  =   50.000000 m/s
Alpha =    6.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.883877
Cy    =   -0.000000
Cd    =    0.024880     ICd   =    0.024880     PCd   =    0.000000
Cl   = 1.12619e-16
Cm   =   -0.303274
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.420313     YCP   =   -0.000000     ZCP   =    0.025868  
XNP   =    0.000000
Bending = 23504.748159

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -5.9898     1.1602    -3.193    0.139847    0.000000    0.007779   -0.046887   -0.011921     0.0000    0.0000    0.3333    0.0000
   -5.9488     1.1611    -3.134    0.240032    0.000000    0.013139   -0.080649   -0.020660     0.0000    0.0000    0.3342    0.2089
   -5.8673     1.1629    -2.994    0.342340    0.000000    0.017904   -0.115370   -0.029815     0.0000    0.0000    0.3352    2.7657
   -5.7457     1.1655    -2.788    0.437734    0.000000    0.021313   -0.147797   -0.038400     0.0000    0.0000    0.3358   14.1446
   -5.5848     1.1690    -2.547    0.523827    0.000000    0.023302   -0.176963   -0.046048     0.0000    0.0000    0.3360   47.0266
   -5.3857     1.1733    -2.302    0.600037    0.000000    0.024122   -0.202644   -0.052679     0.0000    0.0000    0.3359   121.4372
   -5.1499     1.1784    -2.074    0.666835    0.000000    0.024149   -0.225068   -0.058403     0.0000    0.0000    0.3357   265.1214
   -4.8789     1.1843    -1.875    0.725256    0.000000    0.023745   -0.244691   -0.063418     0.0000    0.0000    0.3355   513.2410
   -4.5746     1.1909    -1.711    0.776536    0.000000    0.023196   -0.262029   -0.067931     0.0000    0.0000    0.3355   907.5302
   -4.2390     1.1982    -1.582    0.821875    0.000000    0.022701   -0.277552   -0.072112     0.0000    0.0000    0.3357   1495.0349
   -3.8745     1.2061    -1.487    0.862302    0.000000    0.022384   -0.291642   -0.076085     0.0000    0.0000    0.3362   2326.5357
   -3.4835     1.2145    -1.423    0.898627    0.000000    0.022321   -0.304581   -0.079933     0.0000    0.0000    0.3369   3454.7273
   -3.0687     1.2235    -1.387    0.931417    0.000000    0.022559   -0.316557   -0.083699     0.0000    0.0000    0.3378   4932.2061
   -2.6329     1.2330    -1.379    0.961003    0.000000    0.023127   -0.327670   -0.087402     0.0000    0.0000    0.3388   6809.3114
   -2.1792     1.2428    -1.395    0.987479    0.000000    0.024055   -0.337937   -0.091035     0.0000    0.0000    0.3400   9131.8627
   -1.7106     1.2529    -1.439    1.010686    0.000000    0.025382   -0.347289   -0.094570     0.0000    0.0000    0.3413   11938.8393
   -1.2302     1.2633    -1.511    1.030142    0.000000    0.027175   -0.355541   -0.097942     0.0000    0.0000    0.3428   15260.0496
   -0.7415     1.2739    -1.621    1.044849    0.000000    0.029565   -0.362289   -0.100997     0.0000    0.0000    0.3444   19113.8278
   -0.2477     1.2846    -1.793    1.052596    0.000000    0.032950   -0.366505   -0.103260     0.0000    0.0000    0.3458   23504.7482
    0.2477     1.2846    -1.793    1.052596    0.000000    0.032950   -0.366505   -0.103260     0.0000    0.0000    0.3458   23504.6897
